tissue,TF,ensembl,in_network,module
LIVER,HNF4A,ENSG00000101076,True,M21
LIVER,FOXA2,ENSG00000125798,True,M21
LIVER,FOXA1,ENSG00000129514,True,M6
LIVER,HNF1A,ENSG00000135100,True,M21
LIVER,CEBPA,ENSG00000245848,True,M25
LIVER,NR1H4,ENSG00000012504,True,grey
MUSCLE,MYOD1,,False,
MUSCLE,MYF5,,False,
MUSCLE,MYOG,,False,
MUSCLE,MEF2C,ENSG00000081189,True,M12
MUSCLE,MEF2A,ENSG00000068305,True,M12
MUSCLE,TEAD1,ENSG00000187079,True,M12
BRAIN,NEUROD1,,False,
BRAIN,NEUROD2,,False,
BRAIN,POU3F2,,False,
BRAIN,SOX2,ENSG00000181449,True,M19
BRAIN,MEF2C,ENSG00000081189,True,M12
BRAIN,RFX4,,False,
SPLEEN,SPI1,ENSG00000066336,True,M10
SPLEEN,IKZF1,ENSG00000185811,True,M10
SPLEEN,TCF3,ENSG00000071564,True,grey
SPLEEN,EBF1,ENSG00000164330,True,M1
SPLEEN,PAX5,,False,
SPLEEN,IRF8,ENSG00000140968,True,M10
PITUITARY,POU1F1,,False,
PITUITARY,PROP1,,False,
PITUITARY,GATA2,ENSG00000179348,True,M11
PITUITARY,TBX19,ENSG00000143178,True,grey
PITUITARY,NR5A1,,False,
TESTIS,SOX9,ENSG00000125398,True,grey
TESTIS,DMRT1,,False,
TESTIS,SRY,,False,
TESTIS,RHOX,,False,
TESTIS,NR5A1,,False,
