module,tissue,n_TF_regulators,n_target_genes,n_core_edges,n_transient_edges,top_regulators,module_mean_Zsum,frac_species_preserved,n_species_preserved,blomberg_K,phylo_signal,top_function
M9,BRAIN,449,288,2837,3968,PAX6; MYT1; ZFHX2; ST18; PURG,24.87,0.96,25,0.115,no,modulation of chemical synaptic transmission
M8,TESTIS,542,290,3008,3471,FOXM1; E2F2; E2F1; E2F7; MYBL2,22.59,1.0,26,0.073,no,Resolution of D-loop Structures through Holliday Junction Intermediates
M2,OVARY,592,753,6888,10903,MGA; TCF12; ZNF135; DMTF1; SALL2,21.47,1.0,26,0.209,no,transcription by RNA polymerase II
M18,MUSCLE,351,110,613,1674,DDN; ESRRB; NFE2L1; TCF15; SIX1,17.34,0.88,23,0.133,no,actin filament-based process
M10,SPLEEN,180,286,4900,2807,IKZF1; IRF8; TBX21; IKZF3; BATF,17.01,0.77,20,0.198,no,leukocyte migration
M7,TESTIS,572,296,2395,4276,MGA; CLOCK; ZBTB9; ZNF507; ZNF343,15.09,1.0,26,0.068,no,DNA repair
M3,PITUITARY,469,641,6953,8897,ZNF76; ZNF783; DMTF1; ZNF789; IRF3,14.98,1.0,26,0.468,yes,nucleic acid metabolic process
M4,TESTIS,646,555,3652,8278,ZNF19; ZSCAN1; ZFHX2; ZNF610; ZNF607,14.67,0.88,23,0.055,no,organelle assembly
M26,BRAIN,190,50,330,706,TBX19; MLXIPL; ZNF250; ZNF496; E2F5,12.63,0.95,20,0.263,no,Respiratory electron transport
M19,BRAIN,327,106,1134,1385,SOX8; ZNF536; SOX2; SOX10; FOXD3,12.34,0.88,23,0.153,no,IgSF CAM signaling
M13,LIVER,533,182,1041,2822,NR1H4; HNF4A; HNF1A; HNF4G; MLXIPL,11.06,0.92,24,0.122,no,carboxylic acid catabolic process
M16,PITUITARY,432,152,1235,2036,XBP1; CREB3L2; ZNF700; ETV2; IRF3,7.91,1.0,26,0.199,no,IRE1alpha activates chaperones
M15,BLOOD,330,167,2214,2022,ELF4; SP110; STAT6; FLI1; SP100,6.68,0.73,19,0.165,no,Cytokine Signaling in Immune system
M5,OVARY,629,489,4468,6367,ZNF90; TWIST2; ZNF395; MYC; ZNF343,5.96,0.88,23,0.257,yes,Developmental Biology
M24,UTERUS,157,58,926,621,HOXA11; HOXD9; HOXA10; HOXA3; HOXA9,5.49,0.92,24,0.299,no,animal organ morphogenesis
M1,BLOOD_VESSEL,657,1057,10532,14338,TCF7L1; GLI3; TWIST2; TEAD3; OSR1,5.34,0.65,17,0.139,no,Molecules associated with elastic fibres
M17,MUSCLE,479,127,762,1661,NFE2L1; PPARA; ESRRA; NR1I3; ESRRG,5.31,0.92,24,0.123,no,lipid modification
M22,VAGINA,179,80,1123,973,GRHL1; TP63; HES2; TFAP2A; OVOL1,4.25,0.46,12,0.066,no,keratinocyte differentiation
M6,SALIVARY_GLAND,380,363,4882,4458,GRHL2; EHF; ELF3; OVOL1; TFCP2L1,4.07,0.58,15,0.181,no,Cornified envelope formation
M12,MUSCLE,495,235,2304,3023,ZEB1; ZBTB47; MITF; ZNF532; MEF2D,3.42,0.54,14,0.148,no,muscle structure development
M21,LIVER,313,91,977,1242,HNF1A; HNF4A; HNF4G; HNF1B; FOXA3,3.15,0.62,16,0.154,no,Metabolism of xenobiotics by cytochrome P450
M11,ADIPOSE_TISSUE,413,236,3173,2772,ERG; FLI1; SOX18; TAL1; ZNF366,3.06,0.69,18,0.289,yes,endothelium development
M20,TESTIS,343,92,861,1300,LYL1; ZBTB32; ZBTB48; ZNF467; SP140,2.52,0.58,15,0.338,yes,
M27,LUNG,139,32,337,371,SPI1; TFE3; TFEC; SP100; SP110,0.96,0.19,5,0.099,no,Neutrophil degranulation
M14,SPLEEN,246,174,2570,2161,IKZF1; IKZF3; SP140; IRF8; GFI1,0.87,0.31,8,0.398,yes,response to stimulus
M25,ADIPOSE_TISSUE,283,56,598,810,EBF2; PPARG; CEBPA; EBF3; MLXIPL,0.18,0.12,3,0.098,no,PPAR signaling pathway
M23,PANCREAS,340,65,530,946,HNF1B; FOXA2; FOXA3; HNF4A; HNF1A,-0.85,0.15,4,0.16,no,Digestion
