module,mean_Zsum,median_Zsum,min_Zsum,frac_species_pres,frac_species_strong,top_tissue
M9,24.87,24.82,0.38,0.96,0.85,BRAIN
M8,22.59,20.62,3.12,1.0,0.77,TESTIS
M2,21.47,22.3,6.25,1.0,0.92,OVARY
M18,17.34,10.53,-2.46,0.88,0.5,MUSCLE
M10,17.01,8.4,-2.15,0.77,0.42,SPLEEN
M7,15.09,14.55,5.8,1.0,0.92,TESTIS
M3,14.98,15.62,3.98,1.0,0.65,PITUITARY
M4,14.67,9.68,-0.5,0.88,0.46,TESTIS
M26,12.63,11.82,1.44,0.95,0.67,BRAIN
M19,12.34,11.9,0.01,0.88,0.65,BRAIN
M13,11.06,7.05,-0.87,0.92,0.38,LIVER
M16,7.91,6.34,2.5,1.0,0.31,PITUITARY
M15,6.68,3.58,-0.02,0.73,0.23,BLOOD
M5,5.96,5.46,1.61,0.88,0.12,OVARY
M24,5.49,4.64,-1.13,0.92,0.08,UTERUS
M1,5.34,4.76,-3.07,0.65,0.23,BLOOD_VESSEL
M17,5.31,4.62,1.49,0.92,0.08,MUSCLE
M22,4.25,1.64,-2.61,0.46,0.19,VAGINA
M6,4.07,2.76,-1.69,0.58,0.12,SALIVARY_GLAND
M12,3.42,2.12,0.04,0.54,0.15,MUSCLE
M21,3.15,2.73,-1.38,0.62,0.0,LIVER
M11,3.06,2.56,-1.23,0.69,0.04,ADIPOSE_TISSUE
M20,2.52,2.56,-0.17,0.58,0.0,TESTIS
M27,0.96,0.51,-0.79,0.19,0.0,LUNG
M14,0.87,0.54,-2.25,0.31,0.0,SPLEEN
M25,0.18,-0.24,-2.18,0.12,0.0,ADIPOSE_TISSUE
M23,-0.85,-1.4,-3.02,0.15,0.0,PANCREAS
