module,size,top_tissue,top_z,second_tissue,spec
M23,65,PANCREAS,5.16,SMALL_INTESTINE,4.73
M13,182,LIVER,5.06,KIDNEY,4.55
M18,110,MUSCLE,4.41,HEART,1.89
M4,556,TESTIS,4.33,PITUITARY,2.96
M8,290,TESTIS,3.97,SPLEEN,2.55
M25,56,ADIPOSE_TISSUE,3.67,BREAST,0.77
M19,106,BRAIN,3.61,NERVE,0.75
M7,296,TESTIS,3.44,UTERUS,2.75
M21,91,LIVER,3.36,KIDNEY,1.02
M9,288,BRAIN,3.32,PITUITARY,0.05
M22,80,VAGINA,3.22,SKIN,1.05
M14,174,SPLEEN,3.16,SALIVARY_GLAND,1.05
M10,287,SPLEEN,3.14,BLOOD,0.18
M20,92,TESTIS,2.65,BLOOD,0.25
M17,127,MUSCLE,2.54,HEART,0.33
M12,235,MUSCLE,2.26,BLOOD_VESSEL,0.97
M26,50,BRAIN,2.2,HEART,0.16
M6,363,SALIVARY_GLAND,2.13,PROSTATE,0.81
M5,489,OVARY,1.94,CERVIX_UTERI,0.79
M15,167,BLOOD,1.89,SPLEEN,0.1
M11,236,ADIPOSE_TISSUE,1.76,LUNG,0.15
M24,58,UTERUS,1.73,KIDNEY,0.35
M27,32,LUNG,1.7,BLOOD,0.22
M3,642,PITUITARY,1.5,TESTIS,0.06
M2,753,OVARY,1.26,PITUITARY,0.01
M1,1057,BLOOD_VESSEL,1.25,UTERUS,0.1
M16,152,PITUITARY,1.21,THYROID,0.1
