human_module,hs_size,best_mouse_module,overlap,mm_size,jaccard,hyper_p,neglog10p
M8,240,mm1,178,899,0.185,8.597387506458272e-134,133.06563349804668
M7,249,mm1,109,899,0.105,2.857712519761156e-47,46.543981462515326
M2,581,mm1,102,899,0.074,3.506025960809087e-10,9.455184872442342
M4,274,mm11,87,136,0.269,6.196137511486602e-104,103.2078789524659
M6,262,mm13,74,131,0.232,1.868801675130768e-83,82.72843678528059
M1,858,mm14,67,127,0.073,8.033641538132836e-37,36.09508755043407
M18,81,mm8,63,183,0.313,3.075632685154844e-96,95.51206553243878
M3,323,mm2,55,384,0.084,2.9755624107278164e-20,19.52643093622411
M9,244,mm15,48,117,0.153,2.2303788413201728e-46,45.651621363534325
M13,103,mm19,46,88,0.317,7.249237201492672e-71,70.13970768951333
M5,201,mm6,44,192,0.126,8.495312980646045e-34,33.07082061641076
M10,168,mm21,39,67,0.199,2.098591344070512e-52,51.67807212277729
M24,31,mm33,27,32,0.75,3.3969662035501035e-70,69.46890877390851
M12,183,mm8,27,183,0.08,9.490376052418086e-17,16.022716578483735
M11,183,mm17,25,109,0.094,2.036788727094064e-20,19.691054017350275
M16,125,mm1,25,899,0.025,0.00025702404658897986,3.5900262431575714
M15,112,mm3,22,357,0.049,1.419006575748933e-10,9.848015591995056
M22,47,mm27,18,45,0.243,1.332619764378147e-31,30.875293749902706
M21,57,mm23,17,65,0.162,2.0703591121936415e-24,23.68395431786805
M19,89,mm7,16,192,0.06,2.2092778214332115e-11,10.655749667230111
M17,99,mm6,13,192,0.047,9.09948078978581e-08,7.040983387521105
M14,44,mm21,7,67,0.067,2.0511257607601754e-08,7.688007710899417
M20,46,mm2,6,384,0.014,0.010307661960084173,1.9868398325811039
M25,40,mm19,3,88,0.024,0.006031599114224195,2.2195675312407315
M23,27,mm23,3,65,0.034,0.0008101706729433581,3.091423481726845
M27,10,mm1,1,899,0.001,0.6326324989984913,0.19884850168179308
