module,n_genes,Zdensity,Zconnectivity,Zsummary,species,n_common,n_tissues,n_libs
M12,158,2.7,-2.29,0.21,Gallus_gallus,7344,22,440
M14,28,-0.97,0.39,-0.29,Gallus_gallus,7344,22,440
M1,663,6.28,-5.15,0.57,Gallus_gallus,7344,22,440
M6,181,0.83,-1.13,-0.15,Gallus_gallus,7344,22,440
M22,25,-1.13,-0.2,-0.67,Gallus_gallus,7344,22,440
M23,25,-2.0,-0.85,-1.43,Gallus_gallus,7344,22,440
M21,42,4.35,0.85,2.6,Gallus_gallus,7344,22,440
M18,61,9.55,0.25,4.9,Gallus_gallus,7344,22,440
M13,73,7.04,-0.09,3.47,Gallus_gallus,7344,22,440
M9,178,51.4,-0.27,25.57,Gallus_gallus,7344,22,440
M25,29,-2.76,-0.89,-1.82,Gallus_gallus,7344,22,440
M19,73,25.43,-1.18,12.13,Gallus_gallus,7344,22,440
M11,129,-0.81,1.14,0.16,Gallus_gallus,7344,22,440
M10,112,16.86,-0.63,8.11,Gallus_gallus,7344,22,440
M24,26,10.8,2.68,6.74,Gallus_gallus,7344,22,440
M5,167,6.83,4.64,5.73,Gallus_gallus,7344,22,440
M15,83,3.17,-0.17,1.5,Gallus_gallus,7344,22,440
M26,8,29.65,1.07,15.36,Gallus_gallus,7344,22,440
M2,453,38.6,0.88,19.74,Gallus_gallus,7344,22,440
M4,182,14.26,0.38,7.32,Gallus_gallus,7344,22,440
M8,198,42.22,5.92,24.07,Gallus_gallus,7344,22,440
M3,217,18.64,0.31,9.48,Gallus_gallus,7344,22,440
M17,88,3.83,1.94,2.88,Gallus_gallus,7344,22,440
M20,29,0.7,-0.38,0.16,Gallus_gallus,7344,22,440
M16,105,7.6,1.45,4.52,Gallus_gallus,7344,22,440
M7,199,24.14,0.2,12.17,Gallus_gallus,7344,22,440
M27,10,0.45,-2.04,-0.79,Gallus_gallus,7344,22,440
