module,n_TF,frac_ZNF,frac_classical,top_tissue,mean_Zsummary,blomberg_K,K_pvalue
M1,53,0.2830188679245283,0.5660377358490566,BLOOD_VESSEL,5.34,0.139,0.38
M10,13,0.3076923076923077,0.6153846153846154,SPLEEN,17.01,0.198,0.275
M11,12,0.16666666666666666,0.8333333333333334,ADIPOSE_TISSUE,3.06,0.289,0.041
M12,14,0.07142857142857142,0.7857142857142857,MUSCLE,3.42,0.148,0.344
M13,5,0.0,1.0,LIVER,11.06,0.122,0.504
M14,5,0.4,0.6,SPLEEN,0.87,0.398,0.004
M15,10,0.0,0.8,BLOOD,6.68,0.165,0.356
M16,1,0.0,1.0,PITUITARY,7.91,0.199,0.151
M17,1,0.0,1.0,MUSCLE,5.31,0.123,0.489
M19,3,0.3333333333333333,0.6666666666666666,BRAIN,12.34,0.153,0.283
M2,85,0.7647058823529411,0.17647058823529413,OVARY,21.47,0.209,0.11
M20,2,0.0,0.5,TESTIS,2.52,0.338,0.007
M21,6,0.0,1.0,LIVER,3.15,0.154,0.311
M22,7,0.0,0.8571428571428571,VAGINA,4.25,0.066,0.83
M23,2,0.0,1.0,PANCREAS,-0.85,0.16,0.326
M24,33,0.0,1.0,UTERUS,5.49,0.299,0.064
M25,4,0.0,1.0,ADIPOSE_TISSUE,0.18,0.098,0.711
M3,70,0.9285714285714286,0.07142857142857142,PITUITARY,14.98,0.468,0.002
M4,15,0.6666666666666666,0.26666666666666666,TESTIS,14.67,0.055,0.947
M5,17,0.4117647058823529,0.5882352941176471,OVARY,5.96,0.257,0.041
M6,15,0.2,0.6666666666666666,SALIVARY_GLAND,4.07,0.181,0.21
M7,11,0.8181818181818182,0.18181818181818182,TESTIS,15.09,0.068,0.895
M8,15,0.3333333333333333,0.6666666666666666,TESTIS,22.59,0.073,0.872
M9,4,0.5,0.5,BRAIN,24.87,0.115,0.618
