species,n_common,n_tissues,n_libs,median_Zsum,mean_Zsum,n_strong,divergence,clade,common_name,frac_pres,source
Pan_troglodytes,10169,19,343,4.1,6.486666666666666,6,6.4,Primate,chimpanzee,0.6666666666666666,Bgee
Macaca_fascicularis,8784,19,140,8.555,13.060384615384615,13,29.0,Primate,crab-eating macaque,0.8461538461538461,Bgee
Macaca_mulatta,10047,75,991,3.06,6.794444444444445,6,29.0,Primate,macaque,0.7407407407407407,Bgee
Chlorocebus_sabaeus,10285,8,554,5.6,6.915925925925926,10,29.0,Primate,green monkey,0.7037037037037037,Bgee
Papio_anubis,9159,72,812,10.84,15.687307692307693,14,29.0,Primate,olive baboon,0.9230769230769231,Bgee
Callithrix_jacchus,9244,9,75,7.095000000000001,9.966153846153846,11,43.0,Primate,marmoset,0.8461538461538461,Bgee
Microcebus_murinus,9605,7,23,4.85,7.783333333333333,6,74.0,Primate,mouse lemur,0.7777777777777778,Bgee
Cavia_porcellus,9555,15,303,4.87,9.354444444444445,10,87.0,Rodent,guinea pig,0.7407407407407407,Bgee
Rattus_norvegicus,9214,40,1193,4.82,10.584814814814816,9,87.0,Rodent,rat,0.7777777777777778,Bgee
Oryctolagus_cuniculus,8715,22,461,3.11,6.8100000000000005,7,87.0,Lagomorph,rabbit,0.5185185185185185,Bgee
Heterocephalus_glaber,6707,12,273,3.05,4.524074074074075,4,87.0,Rodent,naked mole rat,0.5555555555555556,Bgee
Mus_musculus,10017,95,3414,4.81,7.743333333333333,8,87.0,Rodent,mouse,0.7407407407407407,Bgee
Canis_lupus_familiaris,8716,38,258,7.27,10.714615384615383,11,94.0,Carnivore,dog,0.8076923076923077,Bgee
Equus_caballus,9370,31,319,12.77,17.77074074074074,15,94.0,Perissodactyl,horse,0.9259259259259259,Bgee
Felis_catus,8655,13,62,2.19,4.675,6,94.0,Carnivore,cat,0.5384615384615384,Bgee
Sus_scrofa,9567,123,2866,10.18,13.423703703703703,15,94.0,Ungulate,pig,0.8518518518518519,Bgee
Bos_taurus,9447,113,2526,10.34,17.291851851851852,14,94.0,Ungulate,cattle,0.9629629629629629,Bgee
Capra_hircus,9673,23,189,8.35,15.727407407407407,11,94.0,Ungulate,goat,0.8888888888888888,Bgee
Ovis_aries,8800,91,1179,7.21,8.628518518518518,8,94.0,Ungulate,sheep,0.8518518518518519,Bgee
Monodelphis_domestica,8628,23,398,0.88,1.5407407407407407,0,160.0,Marsupial,opossum,0.4074074074074074,Bgee
Ornithorhynchus_anatinus,8778,6,42,4.64,6.270370370370371,8,180.0,Monotreme,platypus,0.6666666666666666,Bgee
Anolis_carolinensis,7044,14,149,0.86,2.667777777777778,3,319.0,Reptile,green anole,0.4074074074074074,Bgee
Gallus_gallus,7344,22,440,3.47,6.008888888888889,6,319.0,Bird,chicken,0.5925925925925926,Bgee
Meleagris_gallopavo,6276,20,606,5.42,7.051851851851852,7,319.0,Bird,turkey,0.7407407407407407,Bgee
Xenopus_tropicalis,7298,11,274,4.0,7.636666666666667,8,352.0,Amphibian,frog,0.7777777777777778,Bgee
Danio_rerio,5910,18,217,3.9,7.952222222222223,8,429.0,Fish,zebrafish,0.5925925925925926,Bgee
